scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_2409	4974.956416	6.539989	10.293692	4973.282667	4968.416427	4964.662723	1.673749
scaffold_2410	nan	-0.429931	-0.138455	1.244564	nan	nan	nan
scaffold_2411	9.814112	-0.606443	1.173970	6.854976	10.420554	8.640142	2.959136
scaffold_2412	6408.983883	27.812798	49.710735	56.734205	6381.171085	6359.273148	6352.249678
scaffold_2413	8.837095	2.001403	7.976046	4.380136	6.835692	0.861049	4.456959
scaffold_2414	52.770389	48.355992	40.800941	30.211842	4.414398	11.969448	22.558547
scaffold_2415	132.005204	23.879160	102.447882	81.912096	108.126044	29.557322	50.093107
scaffold_2416	4237.805104	12.396976	23.447703	37.883669	4225.408128	4214.357401	4199.921434
scaffold_2417	45.865296	12.628606	28.675012	39.664561	33.236690	17.190284	6.200735
scaffold_2418	74.703616	3.452312	25.726229	63.823077	71.251304	48.977387	10.880539
scaffold_2419	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2420	48.010694	17.778328	29.449869	44.726879	30.232366	18.560825	3.283815
scaffold_2421	94.334936	18.787121	62.539725	84.864592	75.547815	31.795211	9.470344
scaffold_2422	36.208364	5.013948	22.703397	33.574888	31.194415	13.504966	2.633475
scaffold_2423	48.083639	5.714152	23.926240	46.671452	42.369487	24.157398	1.412186
scaffold_2424	130.185139	31.100640	86.282406	125.451051	99.084499	43.902732	4.734088
scaffold_2425	119.829693	18.472534	51.944211	106.917822	101.357159	67.885482	12.911871
scaffold_2426	-nan	-1.401869	0.110786	6.035880	-nan	-nan	-nan
scaffold_2427	95.716231	4.004277	47.334561	83.664835	91.711954	48.381670	12.051396
scaffold_2428	220.665699	6.498283	82.936630	204.838521	214.167416	137.729069	15.827178
scaffold_2429	103.966360	0.625818	24.689373	89.516929	103.340543	79.276988	14.449432
scaffold_2430	41.744839	6.289275	18.354972	39.945064	35.455565	23.389868	1.799776
scaffold_2431	90.410635	25.695066	58.981223	67.451010	64.715569	31.429412	22.959626
scaffold_2432	68.345711	19.766051	21.271920	44.632527	48.579660	47.073791	23.713184
scaffold_2433	97.557578	-8.296224	6.814868	57.641369	105.853802	90.742710	39.916209
scaffold_2434	778.716345	-1.688642	11.669307	761.878849	780.404986	767.047037	16.837495
scaffold_2435	9.814112	-0.967534	0.270731	4.854687	10.781645	9.543381	4.959425
scaffold_2436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2437	26.518823	1.252367	10.513579	22.842598	25.266456	16.005244	3.676224
scaffold_2438	234.867630	7.596051	104.727796	205.688822	227.271578	130.139833	29.178808
scaffold_2439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2440	61.284526	37.106882	61.221681	55.080321	24.177644	0.062845	6.204205
scaffold_2441	73.591637	10.560887	29.460575	68.286886	63.030750	44.131061	5.304751
scaffold_2442	219.171087	17.241463	119.865897	210.385718	201.929624	99.305190	8.785369
scaffold_2443	11.863425	2.072129	3.964441	9.514763	9.791296	7.898984	2.348662
scaffold_2444	178.581276	85.722527	120.043279	135.863545	92.858750	58.537998	42.717731
scaffold_2445	254.894282	26.677444	87.197092	228.753568	228.216838	167.697190	26.140714
scaffold_2446	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2447	37.293779	-1.120013	9.940797	31.503481	38.413792	27.352983	5.790298
scaffold_2448	255.246625	36.505451	115.402493	216.236734	218.741174	139.844132	39.009891
scaffold_2449	11.961404	-0.526708	0.758268	3.334781	12.488112	11.203136	8.626623
scaffold_2450	82.790424	30.307463	67.135320	56.347058	52.482960	15.655104	26.443366
scaffold_2451	215.616553	203.856993	137.058558	106.764846	11.759560	78.557996	108.851707
scaffold_2452	31.241633	4.353460	17.089523	14.039295	26.888173	14.152109	17.202337
scaffold_2453	103.011146	3.203980	40.944970	92.393635	99.807166	62.066176	10.617511
scaffold_2454	109.623481	8.843711	51.188546	105.685548	100.779770	58.434934	3.937932
scaffold_2455	65.284589	12.041224	29.508513	53.291835	53.243365	35.776076	11.992754
scaffold_2456	-nan	-0.816344	3.513699	3531.968403	-nan	-nan	-nan
scaffold_2457	218.614030	118.928678	86.605665	124.430485	99.685352	132.008366	94.183545
scaffold_2458	65.602917	6.734910	38.162989	52.602826	58.868008	27.439928	13.000091
scaffold_2459	115.202096	28.266364	41.476179	104.796473	86.935731	73.725917	10.405622
scaffold_2460	40.006242	-3.193529	2.754918	23.366805	43.199771	37.251324	16.639437
scaffold_2461	1762.998657	0.602077	6.641929	3522.473173	1762.396580	1756.356728	-1759.474515
scaffold_2462	80.615146	13.177890	43.875688	76.965247	67.437257	36.739459	3.649899
scaffold_2463	713.733986	-0.610705	1.730727	710.157230	714.344692	712.003260	3.576756
scaffold_2464	nan	-0.261153	3.309157	-nan	nan	nan	nan
scaffold_2465	31.889521	31.888978	58.933878	85.473999	0.000543	-27.044358	-53.584478
scaffold_2466	-nan	3.534586	2.192771	1.463101	-nan	-nan	-nan
scaffold_2467	9.814112	-0.967534	0.270731	4.854687	10.781645	9.543381	4.959425
scaffold_2468	72.029566	19.961184	53.687191	64.154531	52.068382	18.342375	7.875035
scaffold_2469	120.235606	93.955012	78.112142	85.475299	26.280595	42.123464	34.760307
scaffold_2470	35.505807	8.865428	14.831827	33.440053	26.640379	20.673980	2.065754
scaffold_2471	182.600227	22.195196	118.254529	168.392417	160.405031	64.345698	14.207810
scaffold_2472	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2473	45.695405	10.480722	27.119137	41.978464	35.214683	18.576269	3.716941
scaffold_2474	92.270912	-4.426244	23.271045	63.069794	96.697156	68.999867	29.201118
scaffold_2475	104.723771	13.913134	58.884724	92.990749	90.810636	45.839047	11.733022
scaffold_2476	7.028827	-0.221169	2.632470	9.243749	7.249996	4.396358	-2.214922
scaffold_2477	34.685561	-0.208673	8.992291	23.757192	34.894235	25.693271	10.928369
scaffold_2478	nan	-0.859863	-0.276911	2.489127	nan	nan	nan
scaffold_2479	-nan	-3.236535	0.069570	13.278325	-nan	-nan	-nan
scaffold_2480	149.598384	-9.717710	14.398969	77.412019	159.316094	135.199416	72.186365
scaffold_2481	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2482	12.021638	5.513065	6.789785	10.761374	6.508573	5.231853	1.260264
scaffold_2483	100.875416	3.459658	41.292205	94.876111	97.415757	59.583211	5.999305
scaffold_2484	94.407024	39.499960	64.523089	86.770506	54.907063	29.883934	7.636517
scaffold_2485	nan	-0.130577	1.654579	-nan	nan	nan	nan
scaffold_2486	nan	-0.130577	1.654579	-nan	nan	nan	nan
scaffold_2487	257.490449	44.084572	150.780008	250.046303	213.405877	106.710441	7.444146
scaffold_2488	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2489	84.431040	8.448439	37.052655	75.147885	75.982601	47.378385	9.283156
scaffold_2490	156.623906	40.541398	96.751998	145.011878	116.082508	59.871908	11.612029
scaffold_2491	nan	-0.130577	1.654579	-nan	nan	nan	nan
scaffold_2492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2493	139.646071	51.100123	95.249395	124.067292	88.545947	44.396676	15.578779
scaffold_2494	77.064465	57.032845	50.085372	54.341287	20.031620	26.979093	22.723178
scaffold_2495	45.505716	17.680416	23.896515	43.939315	27.825300	21.609202	1.566401
scaffold_2496	nan	-0.429931	-0.138455	1.244564	nan	nan	nan
scaffold_2497	78.103340	48.742604	48.970403	63.981745	29.360735	29.132937	14.121595
scaffold_2498	nan	-0.429931	-0.138455	1.244564	nan	nan	nan
scaffold_2499	300.448214	18.953078	109.667587	270.489474	281.495136	190.780628	29.958740
scaffold_2500	-nan	-2.381162	9.742213	9888.016176	-nan	-nan	-nan
scaffold_2501	6.502336	0.926150	5.395025	2.120694	5.576186	1.107310	4.381641
scaffold_2502	4596.871034	1.757817	8.892673	13.345816	4595.113218	4587.978361	4583.525219
scaffold_2503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2504	147.200688	23.502049	51.358469	99.228554	123.698639	95.842219	47.972134
scaffold_2505	21.139890	-0.040279	8.216340	14.199748	21.180169	12.923550	6.940142
scaffold_2506	26.738021	16.376865	15.018992	20.669420	10.361157	11.719030	6.068601
scaffold_2507	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2508	103.977581	13.008378	43.986575	78.318426	90.969202	59.991005	25.659154
scaffold_2509	25.817168	5.032881	12.531790	23.403444	20.784288	13.285379	2.413724
scaffold_2510	78.860067	22.009578	51.544946	75.153177	56.850489	27.315121	3.706890
scaffold_2511	194.239634	50.178892	134.899182	157.880967	144.060742	59.340452	36.358667
scaffold_2512	64.477871	0.981423	23.829263	55.439048	63.496449	40.648609	9.038824
scaffold_2513	41.684846	7.161317	28.076796	36.289096	34.523529	13.608050	5.395751
scaffold_2514	228.790416	12.226514	74.378928	194.670901	216.563902	154.411488	34.119515
scaffold_2515	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2516	21.388582	15.843302	13.103829	13.549209	5.545280	8.284752	7.839373
scaffold_2517	130.760079	24.084531	70.448961	128.327794	106.675548	60.311118	2.432285
scaffold_2518	180.478824	32.668594	91.966000	175.956438	147.810230	88.512823	4.522386
scaffold_2519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2520	119.338343	3.627558	45.685392	103.257965	115.710785	73.652952	16.080378
scaffold_2521	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2522	240.862097	7.115270	93.301672	226.414158	233.746827	147.560425	14.447938
scaffold_2523	238.759765	22.501992	91.187442	172.202097	216.257773	147.572323	66.557668
scaffold_2524	149.892871	10.628567	62.039360	141.423523	139.264303	87.853511	8.469348
scaffold_2525	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2526	73.660488	-0.112471	28.786544	66.461330	73.772958	44.873944	7.199157
scaffold_2527	13.774314	6.713220	10.930342	9.016703	7.061094	2.843972	4.757611
scaffold_2528	127.132073	29.856001	58.852176	91.420761	97.276072	68.279898	35.711313
scaffold_2529	90.899475	-5.989677	22.874849	75.967161	96.889153	68.024626	14.932315
scaffold_2530	3.777085	-0.245416	0.952936	2.784174	4.022501	2.824148	0.992911
scaffold_2531	15.401742	4.326121	8.611080	12.527113	11.075621	6.790662	2.874628
scaffold_2532	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2533	40.163413	12.005578	32.438385	37.817536	28.157835	7.725029	2.345877
scaffold_2534	142.402781	33.684204	80.606526	138.743936	108.718578	61.796256	3.658845
scaffold_2535	-nan	-0.960700	0.601578	4.013337	-nan	-nan	-nan
scaffold_2536	158.285891	6.977617	61.993954	148.509438	151.308274	96.291937	9.776453
scaffold_2537	105.268547	30.658950	74.938686	101.072579	74.609597	30.329861	4.195968
scaffold_2538	61.526484	5.777471	20.285069	38.369895	55.749013	41.241414	23.156588
scaffold_2539	135.402078	13.606454	74.950748	103.794949	121.795624	60.451330	31.607129
scaffold_2540	147.146563	40.099195	79.693373	113.379002	107.047368	67.453190	33.767560
scaffold_2541	54.496547	26.335439	44.550459	49.932824	28.161108	9.946089	4.563723
scaffold_2542	30.599511	-1.732327	3.790598	21.707068	32.331838	26.808913	8.892443
scaffold_2543	143.050384	-6.391611	17.960573	84.286321	149.441994	125.089810	58.764063
scaffold_2544	96.970688	11.759485	25.945800	65.328435	85.211203	71.024888	31.642252
scaffold_2545	13.985780	8.315410	8.476858	6.125436	5.670370	5.508922	7.860344
scaffold_2546	30.082388	3.953786	14.929170	28.153155	26.128602	15.153218	1.929232
scaffold_2547	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2548	54.734529	47.056580	28.102424	32.121533	7.677949	26.632105	22.612997
scaffold_2549	56.208517	13.718338	29.018311	33.453292	42.490180	27.190207	22.755225
scaffold_2550	nan	-0.859863	-0.276911	2.489127	nan	nan	nan
