chrom	length	bases	mean	min	max
scaffold_1149	20408	704284	34.51	0	626
scaffold_1149_region	1991	272994	137.11	17	626
scaffold_1150	20375	400933	19.68	0	49
scaffold_1150_region	12655	244007	19.28	1	48
scaffold_1151	20367	599956	29.46	0	197
scaffold_1151_region	0	0	0.00	0	0
scaffold_1152	20358	638872	31.38	2	107
scaffold_1152_region	2836	79923	28.18	14	48
scaffold_1153	20329	476239	23.43	0	80
scaffold_1153_region	0	0	0.00	0	0
scaffold_1154	20316	352764	17.36	0	84
scaffold_1154_region	5084	85932	16.90	1	32
scaffold_1155	20293	706024	34.79	0	136
scaffold_1155_region	1730	30700	17.75	7	31
scaffold_1156	20279	1058981	52.22	0	168
scaffold_1156_region	2794	151232	54.13	30	77
scaffold_1157	20228	401611	19.85	5	42
scaffold_1157_region	10061	212414	21.11	6	37
scaffold_1158	20209	485434	24.02	0	79
scaffold_1158_region	0	0	0.00	0	0
scaffold_1159	20165	600147	29.76	1	72
scaffold_1159_region	2550	79698	31.25	11	52
scaffold_1160	20120	527263	26.21	0	67
scaffold_1160_region	1449	30823	21.27	9	38
scaffold_1161	20029	408479	20.39	0	92
scaffold_1161_region	0	0	0.00	0	0
scaffold_1162	20005	717352	35.86	0	143
scaffold_1162_region	3958	71556	18.08	4	32
scaffold_1163	19911	401846	20.18	4	52
scaffold_1163_region	14322	289164	20.19	6	47
scaffold_1164	19909	556284	27.94	0	83
scaffold_1164_region	0	0	0.00	0	0
scaffold_1165	19897	492470	24.75	0	70
scaffold_1165_region	0	0	0.00	0	0
scaffold_1166	19849	702288	35.38	0	119
scaffold_1166_region	2108	68622	32.55	18	54
scaffold_1167	19736	431059	21.84	0	105
scaffold_1167_region	928	38110	41.07	0	105
scaffold_1168	19689	646913	32.86	0	102
scaffold_1168_region	1069	23310	21.81	11	44
scaffold_1169	19678	769509	39.11	0	140
scaffold_1169_region	2188	48140	22.00	10	41
scaffold_1170	19578	411808	21.03	0	80
scaffold_1170_region	0	0	0.00	0	0
scaffold_1171	19541	406578	20.81	0	44
scaffold_1171_region	12533	264654	21.12	8	39
scaffold_1172	19516	562363	28.82	0	283
scaffold_1172_region	4810	119841	24.91	9	55
scaffold_1173	19515	886640	45.43	0	77
scaffold_1173_region	3848	179466	46.64	29	76
scaffold_1174	19493	499516	25.63	0	144
scaffold_1174_region	14537	264192	18.17	0	31
scaffold_1175	19487	369149	18.94	0	89
scaffold_1175_region	2929	57143	19.51	7	31
scaffold_1176	19449	372782	19.17	0	52
scaffold_1176_region	12627	245124	19.41	5	39
scaffold_1177	19422	557011	28.68	0	75
